Prompt,Response
"This just in, accident at Bradley Spurs Road, near Changi Airport near lamp post #391. There's . someone appears seriously injured, involving a bicycle, a bus, a motorcycle. Observers are calling for help.","Location of the incident: Bradley Spurs Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 391
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bicycle, a bus, a motorcycle
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: injured"
"Emergency reported on Wood Field Road, close to Gardens by the Bay near lamp post #238. There's a huge fire breakout. , involving a bicycle, a car. .","Location of the incident: Wood Field Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 238
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bicycle, a car
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"This just in, accident at Ibarra Fall Road, by Marina Bay Sands near lamp post #143. There's debris scattered around. a few injuries spotted, involving a pedestrian, a bicycle. People helping out.","Location of the incident: Ibarra Fall Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 143
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: debris scattered around
Vehicles involved: a pedestrian, a bicycle
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Emergency reported on Hall Path Road, by Marina Bay Sands near lamp post #611. There's oil spilled all over. a few injuries spotted, involving a car, a bicycle, a bus. Bystanders are unsure what to do.","Location of the incident: Hall Path Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 611
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a car, a bicycle, a bus
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Just saw something happen on Spencer Cliffs Road, around Sentosa near lamp post #559. There's a huge fire breakout. someone appears seriously injured, involving a bus. Bystanders are unsure what to do.","Location of the incident: Spencer Cliffs Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 559
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bus
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: injured"
"This just in, accident at Brenda Parks Road, close to Gardens by the Bay near lamp post #45. There's . someone appears seriously injured, involving a bicycle, a bus. .","Location of the incident: Brenda Parks Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 45
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bicycle, a bus
Actions taken by bystanders: NA
State of casualties involved in the accident: injured"
"This just in, accident at Richard Drive Road, near Changi Airport near lamp post #423. There's oil spilled all over. someone appears seriously injured, involving a bus, a pedestrian, a motorcycle. .","Location of the incident: Richard Drive Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 423
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a bus, a pedestrian, a motorcycle
Actions taken by bystanders: NA
State of casualties involved in the accident: injured"
"Emergency reported on Smith Street Road, near lamp post #784. There's a tree blocking the road. a few injuries spotted, involving a bicycle, a car, a bus. People helping out.","Location of the incident: Smith Street Road
Prominent landmarks: NA
Expressway: NA
Nearby lamp post numbers: 784
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a bicycle, a car, a bus
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"This just in, accident at Theresa Inlet Road, near Changi Airport near lamp post #324. There's . a few injuries spotted, involving a motorcycle, a pedestrian, a car. Bystanders are unsure what to do.","Location of the incident: Theresa Inlet Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 324
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a motorcycle, a pedestrian, a car
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"This just in, accident at Armstrong Lock Road, around Sentosa near lamp post #345. There's . , involving a bus, a bicycle. Observers are calling for help.","Location of the incident: Armstrong Lock Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 345
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a bus, a bicycle
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"This just in, accident at Hill Plains Road, near Changi Airport near lamp post #930. There's a tree blocking the road. , involving a motorcycle, a pedestrian, a car. Bystanders are unsure what to do.","Location of the incident: Hill Plains Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 930
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a motorcycle, a pedestrian, a car
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Watch out, crash on Stacy Ways Road, close to Gardens by the Bay near lamp post #886. There's a huge fire breakout. , involving a pedestrian, a car. People helping out.","Location of the incident: Stacy Ways Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 886
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a pedestrian, a car
Actions taken by bystanders: People helping out
State of casualties involved in the accident: NA"
"Attention, incident occurred at Allen Shoal Road, by Marina Bay Sands near lamp post #20. There's a huge fire breakout. , involving a bicycle, a pedestrian. .","Location of the incident: Allen Shoal Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 20
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bicycle, a pedestrian
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Watch out, crash on Brett Coves Road, near Changi Airport near lamp post #892. There's a tree blocking the road. nobody seems hurt, involving a car, a pedestrian. Bystanders are unsure what to do.","Location of the incident: Brett Coves Road
Prominent landmarks: near Changi Airport
Expressway: NA
Nearby lamp post numbers: 892
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a tree blocking the road
Vehicles involved: a car, a pedestrian
Actions taken by bystanders: Bystanders are unsure what to do
State of casualties involved in the accident: NA"
"Attention, incident occurred at Campbell Haven Road, by Marina Bay Sands near lamp post #223. There's oil spilled all over. a few injuries spotted, involving a bus, a car, a pedestrian. .","Location of the incident: Campbell Haven Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 223
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a bus, a car, a pedestrian
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Attention, incident occurred at Espinoza Via Road, around Sentosa near lamp post #585. There's a huge fire breakout. , involving a bicycle. Observers are calling for help.","Location of the incident: Espinoza Via Road
Prominent landmarks: around Sentosa
Expressway: NA
Nearby lamp post numbers: 585
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bicycle
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
"Uh oh, there's an accident on Jennifer Points Road, close to Gardens by the Bay near lamp post #634. There's oil spilled all over. someone appears seriously injured, involving a pedestrian, a bus, a car. .","Location of the incident: Jennifer Points Road
Prominent landmarks: close to Gardens by the Bay
Expressway: NA
Nearby lamp post numbers: 634
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a pedestrian, a bus, a car
Actions taken by bystanders: NA
State of casualties involved in the accident: injured"
"Attention, incident occurred at Michele Stream Road, by Marina Bay Sands near lamp post #483. There's . nobody seems hurt, involving a motorcycle. .","Location of the incident: Michele Stream Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 483
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a motorcycle
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Just saw something happen on Morgan Mountain Road, by Marina Bay Sands near lamp post #294. There's a huge fire breakout. , involving a bicycle. .","Location of the incident: Morgan Mountain Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 294
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: a huge fire breakout
Vehicles involved: a bicycle
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"This just in, accident at Drake Trail Road, by Marina Bay Sands near lamp post #47. There's oil spilled all over. a few injuries spotted, involving a pedestrian. .","Location of the incident: Drake Trail Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 47
Casualties: some
Nature of traffic accident: mishap
Hazards or obstructions: oil spilled all over
Vehicles involved: a pedestrian
Actions taken by bystanders: NA
State of casualties involved in the accident: NA"
"Watch out, crash on Norris Forks Road, by Marina Bay Sands near lamp post #363. There's . nobody seems hurt, involving a car, a motorcycle, a bicycle. Observers are calling for help.","Location of the incident: Norris Forks Road
Prominent landmarks: by Marina Bay Sands
Expressway: NA
Nearby lamp post numbers: 363
Casualties: NA
Nature of traffic accident: mishap
Hazards or obstructions: NA
Vehicles involved: a car, a motorcycle, a bicycle
Actions taken by bystanders: Observers are calling for help
State of casualties involved in the accident: NA"
